fid,id,LDEN,st_area_sh,st_length_,Long,Lat
1,4963,53,100.069214105,40.0138404272,3.9551,43.67593
2,5396,53,100.068717725,40.0137411852,3.95174,43.67553
3,6315,55,100.06979384,40.0139563343,3.85711,43.67594
4,6896,51,100.06878592,40.0137548196,3.86826,43.67525
5,10261,54,100.06925193,40.0138479895,3.91307,43.67202
6,11436,50,400.280133875,100.03508703,3.86706,43.67207
7,12414,50,100.06979384,40.0139563343,3.85638,43.67153
8,12561,51,200.140091645,60.0210344985,3.8521,43.6715
9,12654,51,200.13951176,60.0209231169,3.90188,43.67087
10,12698,54,100.06971049,40.0139396691,3.96126,43.66999
11,12763,52,100.07079416,40.0141563285,3.85538,43.67137
12,12945,54,100.06979384,40.0139563343,3.8591,43.67123
13,13143,50,100.0702826,40.0140540517,3.86232,43.67109
14,13724,56,100.07025225,40.0140479838,3.91191,43.67015
15,14135,50,100.07030541,40.0140586141,3.8421,43.67082
16,14292,60,100.06974073,40.013945715,3.91587,43.66982
17,15645,54,200.141084365,60.0211337351,3.8546,43.67007
18,17789,55,100.07074105,40.0141457092,3.91831,43.66826
19,18003,52,100.06975588,40.0139487439,3.90975,43.66829
20,18756,52,100.07025225,40.0140479838,3.91036,43.66801
21,18989,51,100.07025225,40.0140479838,3.90875,43.66794
22,20045,55,100.07019933,40.0140374035,3.9732,43.66667
23,20099,51,100.071290525,40.0142555654,3.85766,43.66819
24,20183,58,200.14050071,60.021020841,3.90917,43.66748
25,20961,52,100.070206875,40.014038912,3.96464,43.66643
26,22050,53,100.0702826,40.0140540517,3.85962,43.66744
27,22985,56,100.070237105,40.0140449559,3.92173,43.66632
28,24695,53,100.06971804,40.0139411795,3.95456,43.66532
29,27527,51,100.070297805,40.0140570916,3.84371,43.66594
30,28908,65,100.07080938,40.0141593714,3.82796,43.66579
31,30023,57,100.07019933,40.0140374035,3.97895,43.66352
32,30552,55,400.284161765,100.035386262,3.85838,43.66503
33,31653,55,100.07019933,40.0140374035,3.971,43.66328
34,32755,59,200.141474535,60.0211170543,3.92507,43.66366
35,34629,57,200.14089505,60.0212042164,3.97799,43.66246
36,36881,56,100.070237105,40.0140449559,3.92597,43.66266
37,40263,53,200.1419747,60.0212178076,3.92453,43.66196
38,41726,51,100.0718021,40.0143578432,3.8466,43.66266
39,43783,53,100.071199655,40.0142373978,3.97155,43.66057
40,44455,54,100.0707562,40.0141487382,3.90039,43.66139
41,44885,56,100.07125257,40.0142479791,3.90212,43.66128
42,48770,53,100.071260155,40.0142494935,3.90074,43.66058
43,49315,54,100.071245,40.0142464636,3.91586,43.66028
44,49356,52,1000.71088516,180.063853418,3.92571,43.66031
45,50419,55,100.071199655,40.0142373978,3.97127,43.65931
46,51282,58,100.070237105,40.0140449559,3.92924,43.65973
47,52430,53,100.07071081,40.0141396634,3.96357,43.65906
48,53963,55,100.071222305,40.0142419262,3.95092,43.65898
49,54265,55,100.07176411,40.0143502489,3.896,43.65965
50,55961,58,100.071229865,40.0142434377,3.93666,43.65882
51,59612,52,100.07131335,40.0142601297,3.82916,43.65956
52,59945,56,100.0712072,40.0142389063,3.96106,43.65775
53,60170,54,200.14407394,60.0216329612,3.86338,43.65906
54,61661,50,100.07229085,40.0144555606,3.85953,43.6588
55,63763,55,100.0707562,40.0141487382,3.9122,43.65772
56,67605,51,100.07174895,40.014347218,3.90437,43.65711
57,68104,52,400.287026115,100.035670322,3.90462,43.65708
58,68576,51,100.072252905,40.0144479723,3.90213,43.65696
59,70003,51,100.07226807,40.0144510042,3.88589,43.65691
60,71170,52,100.07172625,40.0143426786,3.95208,43.65581
61,71846,50,100.07279482,40.0145563169,3.85204,43.65701
62,72023,51,100.07174895,40.014347218,3.90856,43.65624
63,73111,50,300.21423895,80.0284929272,3.91434,43.65604
64,74021,54,200.14453614,60.0215261315,3.88221,43.65624
65,74252,51,100.07171114,40.0143396577,3.96384,43.6551
66,74813,56,7705.50256614,1160.41490987,3.98827,43.65534
67,77385,50,200.145036305,60.0218268821,3.8897,43.65555
68,77689,52,100.07232893,40.0144631718,3.81421,43.65643
69,78144,65,100.07180971,40.0143593656,3.83292,43.65609
70,79928,54,100.07277203,40.0145517606,3.88088,43.65509
71,80370,50,300.2183085,80.0291020032,3.88456,43.65501
72,80960,52,200.144418835,60.0216087292,3.95543,43.65387
73,80961,53,100.07171114,40.0143396577,3.95562,43.65387
74,81012,60,100.07170359,40.0143381492,3.97062,43.65365
75,81177,55,100.072283255,40.0144540401,3.86439,43.65504
76,81795,54,100.07223776,40.0144449444,3.92277,43.65415
77,82664,54,100.072222635,40.0144419205,3.95226,43.65355
78,83101,54,200.143422275,60.0216102396,3.96168,43.65337
79,88221,70,100.07177929,40.0143532838,3.88096,43.65329
80,89664,50,100.072215075,40.0144404111,3.95631,43.65197
81,91070,51,100.07278722,40.0145547975,3.86495,43.65287
82,91304,64,300.21713408,80.0288808201,3.96027,43.65164
83,94082,53,600.43817825,140.050936472,3.86992,43.65221
84,95562,50,400.28843952,100.036160469,3.93161,43.65108
85,95751,51,100.07232893,40.0144631718,3.8068,43.65265
86,96095,59,100.07220753,40.0144389006,3.95937,43.65057
87,96820,58,200.146063215,60.021829917,3.86932,43.65164
88,98471,52,100.07220753,40.0144389006,3.96804,43.65
89,98835,50,100.072230195,40.014443432,3.93197,43.65042
90,99540,52,100.07282528,40.0145624067,3.81062,43.65188
91,99743,52,200.145009765,60.0218223338,3.90643,43.65064
92,100575,57,300.21827816,80.0290989713,3.89788,43.65062
93,100917,62,200.14606701,60.0219321926,3.86652,43.65092
94,101131,54,100.07271147,40.014539653,3.96096,43.64956
95,103106,62,100.073283585,40.0146540354,3.86588,43.65043
96,104150,53,200.145521295,60.0219230891,3.89928,43.6498
97,104556,53,100.07377996,40.0147532723,3.86972,43.65011
98,105062,52,200.14553647,60.0217261268,3.88601,43.6498
99,107414,52,300.21979004,80.0291997252,3.89259,43.64929
100,107570,57,100.07221508,40.0144404101,3.95584,43.64837
101,107903,55,100.07275686,40.0145487277,3.89858,43.64908
102,111600,54,100.07277203,40.0145517606,3.88282,43.64858
103,113419,55,100.073283585,40.0146540354,3.86472,43.64847
104,113924,51,100.07326082,40.014649482,3.90202,43.64787
105,114449,57,600.437306925,140.050991799,3.95432,43.64718
106,115978,50,200.14602147,60.0219246033,3.90288,43.64745
107,121294,52,200.147014225,60.0220223276,3.90464,43.64621
108,121615,56,200.147109165,60.022035991,3.84416,43.64694
109,124669,52,200.14546829,60.0218162778,3.92718,43.64527
110,124704,55,800.587776875,180.065836729,3.94475,43.64509
111,126601,50,100.07373448,40.0147441796,3.92575,43.64493
112,127820,59,100.073817995,40.0147608774,3.81817,43.64611
113,129838,51,200.14771232,60.0221519957,3.77298,43.64633
114,130905,57,100.073215415,40.0146404044,3.95088,43.64385
115,132228,53,100.074261155,40.0148494773,3.89474,43.64437
116,132776,51,100.07374205,40.0147456921,3.92076,43.64392
117,132818,55,100.07373448,40.0147441796,3.93353,43.64374
118,133762,64,100.07371936,40.0147411567,3.94827,43.64335
119,134617,54,100.07374205,40.0147456921,3.92311,43.64352
120,134676,60,1000.73673878,180.06614201,3.94321,43.64344
121,135153,59,1601.17456475,260.095722053,3.9465,43.64342
122,136471,60,100.07371936,40.0147411567,3.94577,43.64284
123,136740,64,100.07376478,40.0147502374,3.89348,43.64348
124,138485,55,100.073802765,40.0147578326,3.8429,43.64381
125,138675,52,200.14749167,60.022120052,3.91924,43.64281
126,139418,53,100.07428393,40.0148540286,3.86,43.6434
127,140345,53,100.07274928,40.0145472122,3.91105,43.64252
128,140849,59,100.07372692,40.0147426672,3.93398,43.64211
129,141475,55,100.07381038,40.014759354,3.84041,43.64321
130,142422,51,200.148018355,60.0221230822,3.9002,43.64222
131,142488,53,100.07374962,40.0147472065,3.91996,43.64195
132,143549,55,100.07381038,40.014759354,3.83321,43.64285
133,144250,62,400.2944075,80.0294853361,3.93836,43.64137
134,144926,55,100.074291525,40.014855549,3.85935,43.64224
135,145292,51,1000.74205949,220.081168076,3.83696,43.64252
136,145421,61,100.07376478,40.0147502374,3.89368,43.64168
137,145581,64,300.22166581,80.0294838237,3.94267,43.64103
138,145895,51,100.07374962,40.0147472065,3.90433,43.64144
139,146458,60,100.07372692,40.0147426672,3.93804,43.64088
140,146723,56,100.074261155,40.0148494773,3.89317,43.64142
141,148920,68,2301.70166826,300.11056245,3.94255,43.64035
142,149338,64,300.22218109,80.0294853363,3.93885,43.6403
143,152315,56,100.074230865,40.0148434215,3.93379,43.63968
144,152631,59,100.07428393,40.0148540286,3.8639,43.64055
145,153330,80,200.148454175,60.0222132434,3.945,43.63934
146,153745,50,100.07474996,40.0149472008,3.91185,43.63972
147,153821,81,100.07422331,40.0148419091,3.94122,43.63931
148,153836,69,100.07422331,40.0148419091,3.94617,43.63924
149,155234,74,300.222673705,80.0296823072,3.94592,43.63897
150,156117,50,100.07536815,40.0150707915,3.75197,43.64128
151,157604,53,200.150087375,60.0224329376,3.85427,43.63969
152,159695,59,100.07431436,40.0148601123,3.82891,43.63958
153,160620,51,100.07480311,40.0149578268,3.83969,43.63926
154,162889,58,100.07529948,40.0150570627,3.84848,43.63869
155,163030,56,200.14953783,60.0225276202,3.88367,43.63826
156,163592,50,100.07475753,40.0149487172,3.90498,43.63783
157,164095,51,300.22426504,80.0298974324,3.90515,43.6378
158,165382,50,100.0747879,40.0149547859,3.86681,43.63799
159,167063,51,200.14975126,60.0224573392,3.74938,43.63916
160,167326,54,100.0747879,40.0149547859,3.86667,43.63764
161,168525,76,100.075231215,40.0150434148,3.92949,43.63659
162,168760,52,100.07529948,40.0150570627,3.84994,43.63759
163,170999,53,100.07475754,40.0149487162,3.90296,43.63651
164,173005,53,900.671802355,200.074239806,3.90584,43.63628
