fid,DN,X_Coord,Y_Coord
"1","55",,
"2","51",,
"3","53",,
"4","52",,
"5","52",,
"6","55",,
"7","52",,
"8","50",,
"9","52",,
"10","51",,
"11","52",,
"12","51",,
"13","51",,
"14","52",,
"15","52",,
"16","51",,
"17","50",,
"18","51",,
"19","52",,
"20","51",,
"21","53",,
"22","53",,
"23","51",,
"24","52",,
"25","51",,
"26","52",,
"27","52",,
"28","52",,
"29","53",,
"30","50",,
"31","53",,
"32","52",,
"33","55",,
"34","56",,
"35","51",,
"36","50",,
"37","56",,
"38","57",,
"39","50",,
"40","54",,
"41","56",,
"42","55",,
"43","52",,
"44","53",,
"45","52",,
"46","53",,
"47","52",,
"48","50",,
"49","51",,
"50","52",,
"51","52",,
"52","52",,
"53","51",,
"54","52",,
"55","51",,
"56","52",,
"57","52",,
"58","51",,
"59","52",,
"60","58",,
"61","52",,
"62","52",,
"63","51",,
"64","51",,
"65","57",,
"66","56",,
"67","55",,
"68","53",,
"69","54",,
"70","50",,
"71","51",,
"72","52",,
"73","51",,
"74","53",,
"75","60",,
"76","59",,
"77","52",,
"78","52",,
"79","53",,
"80","54",,
"81","57",,
"82","56",,
"83","55",,
"84","51",,
"85","51",,
"86","50",,
"87","51",,
"88","61",,
"89","61",,
"90","60",,
"91","55",,
"92","57",,
"93","56",,
"94","54",,
"95","52",,
"96","54",,
"97","59",,
"98","59",,
"99","58",,
"100","52",,
"101","55",,
"102","56",,
"103","57",,
"104","58",,
"105","62",,
"106","60",,
"107","58",,
"108","54",,
"109","59",,
"110","60",,
"111","61",,
"112","59",,
"113","54",,
"114","54",,
"115","52",,
"116","51",,
"117","52",,
"118","53",,
"119","56",,
"120","58",,
"121","59",,
"122","53",,
"123","57",,
"124","58",,
"125","60",,
"126","53",,
"127","52",,
"128","52",,
"129","57",,
"130","53",,
"131","51",,
"132","50",,
"133","51",,
"134","59",,
"135","55",,
"136","50",,
"137","61",,
"138","60",,
"139","59",,
"140","52",,
"141","51",,
"142","58",,
"143","57",,
"144","53",,
"145","51",,
"146","56",,
"147","59",,
"148","58",,
"149","51",,
"150","52",,
"151","54",,
"152","60",,
"153","54",,
"154","53",,
"155","54",,
"156","58",,
"157","59",,
"158","60",,
"159","59",,
"160","50",,
"161","56",,
"162","52",,
"163","58",,
"164","50",,
"165","50",,
"166","54",,
"167","59",,
"168","56",,
"169","55",,
"170","54",,
"171","58",,
"172","57",,
"173","53",,
"174","52",,
"175","51",,
"176","53",,
"177","52",,
"178","52",,
"179","51",,
"180","51",,
"181","51",,
"182","56",,
"183","51",,
"184","52",,
"185","52",,
"186","52",,
"187","53",,
"188","53",,
"189","52",,
"190","53",,
"191","51",,
"192","52",,
"193","57",,
"194","51",,
"195","51",,
"196","50",,
"197","52",,
"198","56",,
"199","59",,
"200","58",,
"201","54",,
"202","53",,
"203","56",,
"204","55",,
"205","53",,
"206","52",,
"207","56",,
"208","57",,
"209","58",,
"210","57",,
"211","59",,
"212","61",,
"213","60",,
"214","56",,
"215","57",,
"216","56",,
"217","56",,
"218","57",,
"219","59",,
"220","53",,
"221","54",,
"222","56",,
"223","57",,
"224","59",,
"225","60",,
"226","59",,
"227","58",,
"228","59",,
"229","60",,
"230","59",,
"231","60",,
"232","58",,
"233","53",,
"234","53",,
"235","56",,
"236","55",,
"237","54",,
"238","52",,
"239","58",,
"240","61",,
"241","63",,
"242","61",,
"243","59",,
"244","59",,
"245","60",,
"246","54",,
"247","54",,
"248","54",,
"249","53",,
"250","54",,
"251","55",,
"252","60",,
"253","61",,
"254","62",,
"255","61",,
"256","60",,
"257","53",,
"258","56",,
"259","56",,
