fid,id,LDEN,st_area_sh,st_length_,Long,Lat
1,2037,53,100.069274685,40.013852539,3.87549,43.68172
2,3706,52,200.136435135,60.0205110255,3.95495,43.67737
3,4008,51,100.06877832,40.0137533011,3.86882,43.67812
4,6324,55,100.06928228,40.0138540574,3.86666,43.67581
5,7208,53,100.069214105,40.0138404272,3.95591,43.67376
6,8491,50,100.06879352,40.01375634,3.8485,43.67407
7,9089,54,100.06821379,40.0136404329,3.95884,43.67219
8,9795,53,100.0702826,40.0140540517,3.86906,43.67289
9,10800,54,100.06978624,40.0139548138,3.86012,43.67238
10,11490,54,300.208740955,80.02779219,3.91355,43.67129
11,12581,55,100.06978624,40.0139548138,3.85538,43.67146
12,13307,53,100.0702826,40.0140540517,3.86033,43.67103
13,14625,57,100.070290195,40.0140555721,3.86181,43.67038
14,15477,58,200.140568995,60.0211306974,3.86831,43.66993
15,18431,50,100.07079416,40.0141563285,3.86214,43.66876
16,19980,59,200.13948146,60.0209185724,3.92045,43.66742
17,21282,55,100.07079416,40.0141563285,3.85641,43.66775
18,21962,52,600.421245025,140.049184304,3.96546,43.66618
19,24421,51,100.071199655,40.0142373978,3.97527,43.66511
20,25254,52,100.070237105,40.0140449559,3.92245,43.66559
21,25654,57,300.2101016,80.0280763152,3.96931,43.66492
22,25987,52,200.141398985,60.021106481,3.9729,43.66474
23,27578,52,200.142084685,60.0212329723,3.85939,43.66573
24,29228,51,500.350507805,120.042113719,3.97318,43.66391
25,29493,51,100.07074862,40.0141472237,3.91808,43.66448
26,30414,58,100.07069572,40.0141366474,3.9782,43.66345
27,34510,50,100.07025225,40.0140479838,3.90937,43.66343
28,34619,54,200.14039866,60.021106481,3.97588,43.66249
29,34688,52,300.212451,80.0284225475,3.82681,43.66454
30,35439,51,100.071320975,40.0142616532,3.82048,43.66436
31,35750,56,100.070206875,40.014038912,3.96639,43.66236
32,39671,50,100.07178689,40.0143548022,3.86521,43.66286
33,42494,52,100.07070326,40.0141381549,3.97242,43.66083
34,45444,52,200.14297124,60.0214178019,3.92468,43.66092
35,45520,55,200.14144428,60.0212117605,3.94842,43.66054
36,45613,53,100.07168851,40.0143351343,3.98889,43.65996
37,49508,53,8706.14948977,1260.44540588,3.98078,43.66102
38,50213,58,1000.71159743,200.071248984,3.90146,43.66058
39,51638,53,100.07176411,40.0143502489,3.8918,43.66016
40,53272,56,400.28501409,100.035569568,3.90351,43.65973
41,53311,52,100.07025225,40.0140479838,3.91287,43.6596
42,53537,55,200.141391445,60.0213049678,3.9759,43.65871
43,55471,51,1300.92496902,280.099301052,3.93849,43.65909
44,55887,51,100.07074862,40.0141472237,3.91372,43.65914
45,57029,63,100.07169605,40.0143366408,3.9814,43.658
46,57368,51,200.142959895,60.021414777,3.93361,43.65859
47,59511,59,300.213591425,80.0284747951,3.98164,43.65763
48,59999,51,100.07170359,40.0143381492,3.97358,43.65757
49,61327,54,100.071245,40.0142464636,3.91345,43.65815
50,62668,57,100.071786885,40.0143548032,3.86869,43.65849
51,64275,51,100.071245,40.0142464636,3.91604,43.65758
52,64837,55,200.142948555,60.0214132655,3.95,43.65705
