wkt_geom;id;left;top;right;bottom;NUMPOINTS
Polygon ((19.23958101666229226 57.18711480807085934, 19.32618355704073565 57.33711480807085792, 19.49938863779762244 57.33711480807085792, 19.58599117817606583 57.18711480807085934, 19.49938863779762244 57.03711480807085366, 19.32618355704073565 57.03711480807085366, 19.23958101666229226 57.18711480807085934));52;19.239581016662292;57.33711480807086;19.585991178176066;57.037114808070854;0
Polygon ((19.49938863779762599 57.93711480807085934, 19.58599117817606938 58.08711480807085792, 19.75919625893295617 58.08711480807085792, 19.84579879931139956 57.93711480807085934, 19.75919625893295617 57.78711480807085366, 19.58599117817606938 57.78711480807085366, 19.49938863779762599 57.93711480807085934));55;19.499388637797626;58.08711480807086;19.8457987993114;57.787114808070854;1
Polygon ((19.23958101666229226 56.58711480807085792, 19.32618355704073565 56.7371148080708565, 19.49938863779762244 56.7371148080708565, 19.58599117817606583 56.58711480807085792, 19.49938863779762244 56.43711480807085934, 19.32618355704073565 56.43711480807085934, 19.23958101666229226 56.58711480807085792));54;19.239581016662292;56.73711480807086;19.585991178176066;56.43711480807086;3
Polygon ((17.42092766871497034 57.33711480807085792, 17.50753020909341373 57.4871148080708565, 17.68073528985030052 57.4871148080708565, 17.76733783022874391 57.33711480807085792, 17.68073528985030052 57.18711480807085934, 17.50753020909341373 57.18711480807085934, 17.42092766871497034 57.33711480807085792));9;17.42092766871497;57.48711480807086;17.767337830228744;57.18711480807086;1
Polygon ((17.42092766871497034 57.63711480807085508, 17.50753020909341373 57.78711480807085366, 17.68073528985030052 57.78711480807085366, 17.76733783022874391 57.63711480807085508, 17.68073528985030052 57.4871148080708565, 17.50753020909341373 57.4871148080708565, 17.42092766871497034 57.63711480807085508));8;17.42092766871497;57.787114808070854;17.767337830228744;57.48711480807086;4
Polygon ((17.42092766871497034 56.7371148080708565, 17.50753020909341373 56.88711480807085508, 17.68073528985030052 56.88711480807085508, 17.76733783022874391 56.7371148080708565, 17.68073528985030052 56.58711480807085792, 17.50753020909341373 56.58711480807085792, 17.42092766871497034 56.7371148080708565));11;17.42092766871497;56.887114808070855;17.767337830228744;56.58711480807086;0
Polygon ((17.42092766871497034 57.03711480807085366, 17.50753020909341373 57.18711480807085934, 17.68073528985030052 57.18711480807085934, 17.76733783022874391 57.03711480807085366, 17.68073528985030052 56.88711480807085508, 17.50753020909341373 56.88711480807085508, 17.42092766871497034 57.03711480807085366));10;17.42092766871497;57.18711480807086;17.767337830228744;56.887114808070855;1
Polygon ((17.68073528985030407 58.08711480807085792, 17.76733783022874746 58.2371148080708565, 17.94054291098563425 58.2371148080708565, 18.02714545136407764 58.08711480807085792, 17.94054291098563425 57.93711480807085934, 17.76733783022874746 57.93711480807085934, 17.68073528985030407 58.08711480807085792));13;17.680735289850304;58.23711480807086;18.027145451364078;57.93711480807086;0
Polygon ((17.42092766871497034 56.43711480807085934, 17.50753020909341373 56.58711480807085792, 17.68073528985030052 56.58711480807085792, 17.76733783022874391 56.43711480807085934, 17.68073528985030052 56.28711480807085366, 17.50753020909341373 56.28711480807085366, 17.42092766871497034 56.43711480807085934));12;17.42092766871497;56.58711480807086;17.767337830228744;56.287114808070854;0
Polygon ((17.68073528985030407 57.4871148080708565, 17.76733783022874746 57.63711480807085508, 17.94054291098563425 57.63711480807085508, 18.02714545136407764 57.4871148080708565, 17.94054291098563425 57.33711480807085792, 17.76733783022874746 57.33711480807085792, 17.68073528985030407 57.4871148080708565));15;17.680735289850304;57.637114808070855;18.027145451364078;57.33711480807086;1
Polygon ((17.68073528985030407 57.78711480807085366, 17.76733783022874746 57.93711480807085934, 17.94054291098563425 57.93711480807085934, 18.02714545136407764 57.78711480807085366, 17.94054291098563425 57.63711480807085508, 17.76733783022874746 57.63711480807085508, 17.68073528985030407 57.78711480807085366));14;17.680735289850304;57.93711480807086;18.027145451364078;57.637114808070855;1
Polygon ((17.16112004757964016 58.08711480807085792, 17.24772258795808355 58.2371148080708565, 17.42092766871497034 58.2371148080708565, 17.50753020909341373 58.08711480807085792, 17.42092766871497034 57.93711480807085934, 17.24772258795808355 57.93711480807085934, 17.16112004757964016 58.08711480807085792));1;17.16112004757964;58.23711480807086;17.507530209093414;57.93711480807086;0
Polygon ((17.16112004757964016 57.4871148080708565, 17.24772258795808355 57.63711480807085508, 17.42092766871497034 57.63711480807085508, 17.50753020909341373 57.4871148080708565, 17.42092766871497034 57.33711480807085792, 17.24772258795808355 57.33711480807085792, 17.16112004757964016 57.4871148080708565));3;17.16112004757964;57.637114808070855;17.507530209093414;57.33711480807086;1
Polygon ((17.16112004757964016 57.78711480807085366, 17.24772258795808355 57.93711480807085934, 17.42092766871497034 57.93711480807085934, 17.50753020909341373 57.78711480807085366, 17.42092766871497034 57.63711480807085508, 17.24772258795808355 57.63711480807085508, 17.16112004757964016 57.78711480807085366));2;17.16112004757964;57.93711480807086;17.507530209093414;57.637114808070855;3
Polygon ((19.75919625893295617 56.88711480807085508, 19.84579879931139956 57.03711480807085366, 20.01900388006828635 57.03711480807085366, 20.10560642044672974 56.88711480807085508, 20.01900388006828635 56.7371148080708565, 19.84579879931139956 56.7371148080708565, 19.75919625893295617 56.88711480807085508));65;19.759196258932956;57.037114808070854;20.10560642044673;56.73711480807086;0
Polygon ((17.16112004757964016 56.88711480807085508, 17.24772258795808355 57.03711480807085366, 17.42092766871497034 57.03711480807085366, 17.50753020909341373 56.88711480807085508, 17.42092766871497034 56.7371148080708565, 17.24772258795808355 56.7371148080708565, 17.16112004757964016 56.88711480807085508));5;17.16112004757964;57.037114808070854;17.507530209093414;56.73711480807086;2
Polygon ((19.75919625893295617 57.18711480807085934, 19.84579879931139956 57.33711480807085792, 20.01900388006828635 57.33711480807085792, 20.10560642044672974 57.18711480807085934, 20.01900388006828635 57.03711480807085366, 19.84579879931139956 57.03711480807085366, 19.75919625893295617 57.18711480807085934));64;19.759196258932956;57.33711480807086;20.10560642044673;57.037114808070854;0
Polygon ((17.16112004757964016 57.18711480807085934, 17.24772258795808355 57.33711480807085792, 17.42092766871497034 57.33711480807085792, 17.50753020909341373 57.18711480807085934, 17.42092766871497034 57.03711480807085366, 17.24772258795808355 57.03711480807085366, 17.16112004757964016 57.18711480807085934));4;17.16112004757964;57.33711480807086;17.507530209093414;57.037114808070854;3
Polygon ((17.42092766871497034 57.93711480807085934, 17.50753020909341373 58.08711480807085792, 17.68073528985030052 58.08711480807085792, 17.76733783022874391 57.93711480807085934, 17.68073528985030052 57.78711480807085366, 17.50753020909341373 57.78711480807085366, 17.42092766871497034 57.93711480807085934));7;17.42092766871497;58.08711480807086;17.767337830228744;57.787114808070854;1
Polygon ((19.75919625893295617 56.58711480807085792, 19.84579879931139956 56.7371148080708565, 20.01900388006828635 56.7371148080708565, 20.10560642044672974 56.58711480807085792, 20.01900388006828635 56.43711480807085934, 19.84579879931139956 56.43711480807085934, 19.75919625893295617 56.58711480807085792));66;19.759196258932956;56.73711480807086;20.10560642044673;56.43711480807086;0
Polygon ((17.16112004757964016 56.58711480807085792, 17.24772258795808355 56.7371148080708565, 17.42092766871497034 56.7371148080708565, 17.50753020909341373 56.58711480807085792, 17.42092766871497034 56.43711480807085934, 17.24772258795808355 56.43711480807085934, 17.16112004757964016 56.58711480807085792));6;17.16112004757964;56.73711480807086;17.507530209093414;56.43711480807086;1
Polygon ((18.20035053212096798 58.08711480807085792, 18.28695307249941138 58.2371148080708565, 18.46015815325629816 58.2371148080708565, 18.54676069363474156 58.08711480807085792, 18.46015815325629816 57.93711480807085934, 18.28695307249941138 57.93711480807085934, 18.20035053212096798 58.08711480807085792));25;18.200350532120968;58.23711480807086;18.54676069363474;57.93711480807086;2
Polygon ((17.94054291098563425 56.43711480807085934, 18.02714545136407764 56.58711480807085792, 18.20035053212096443 56.58711480807085792, 18.28695307249940782 56.43711480807085934, 18.20035053212096443 56.28711480807085366, 18.02714545136407764 56.28711480807085366, 17.94054291098563425 56.43711480807085934));24;17.940542910985634;56.58711480807086;18.286953072499408;56.287114808070854;0
Polygon ((18.20035053212096798 57.4871148080708565, 18.28695307249941138 57.63711480807085508, 18.46015815325629816 57.63711480807085508, 18.54676069363474156 57.4871148080708565, 18.46015815325629816 57.33711480807085792, 18.28695307249941138 57.33711480807085792, 18.20035053212096798 57.4871148080708565));27;18.200350532120968;57.637114808070855;18.54676069363474;57.33711480807086;2
Polygon ((18.20035053212096798 57.78711480807085366, 18.28695307249941138 57.93711480807085934, 18.46015815325629816 57.93711480807085934, 18.54676069363474156 57.78711480807085366, 18.46015815325629816 57.63711480807085508, 18.28695307249941138 57.63711480807085508, 18.20035053212096798 57.78711480807085366));26;18.200350532120968;57.93711480807086;18.54676069363474;57.637114808070855;1
Polygon ((18.20035053212096798 56.88711480807085508, 18.28695307249941138 57.03711480807085366, 18.46015815325629816 57.03711480807085366, 18.54676069363474156 56.88711480807085508, 18.46015815325629816 56.7371148080708565, 18.28695307249941138 56.7371148080708565, 18.20035053212096798 56.88711480807085508));29;18.200350532120968;57.037114808070854;18.54676069363474;56.73711480807086;1
Polygon ((18.20035053212096798 57.18711480807085934, 18.28695307249941138 57.33711480807085792, 18.46015815325629816 57.33711480807085792, 18.54676069363474156 57.18711480807085934, 18.46015815325629816 57.03711480807085366, 18.28695307249941138 57.03711480807085366, 18.20035053212096798 57.18711480807085934));28;18.200350532120968;57.33711480807086;18.54676069363474;57.037114808070854;4
Polygon ((18.46015815325629816 57.93711480807085934, 18.54676069363474156 58.08711480807085792, 18.71996577439162834 58.08711480807085792, 18.80656831477007174 57.93711480807085934, 18.71996577439162834 57.78711480807085366, 18.54676069363474156 57.78711480807085366, 18.46015815325629816 57.93711480807085934));31;18.460158153256298;58.08711480807086;18.80656831477007;57.787114808070854;2
